title,summary,link,published
India's exports dip marginally in March; 3.11% in FY24,"India's exports dip marginally in March; 3.11% in FY24
            India's merchandise exports dipped marginally in March to $41.69 billion, and by 3.11 per cent during the last fiscal year to $437.06 billion mainly due to continued geopolitical turmoil, and depressed global trade.   Photograph: Aly Song/Reuters Imports, too, declined in March as well during the entire 2023-24. Trade deficit, or the gap between imports and exports, narrowed 17.74 per cent in March to $15.6 billion and came down 9.33 per cent to $240.17 billion in FY24. Gold imports, which ...
Rediff.com, 1 hour(s) ago
Also from:",https://realtime.rediff.com/news/business/India-s-exports-dip-marginally-in-March-3-11-in-FY24/6e226448f1aa6c46,1 hour(s) ago
Vi expects 5G rollout in 6-9 months after FPO,"Vi expects 5G rollout in 6-9 months after FPO
            Ahead of its Rs 18,000 crore further public offer (FPO), Vodafone Idea on Monday said it expects to roll out 5G services in select pockets within 6-9 months of raising fresh capital.   Photograph: Anushree Fadnavis/Reuters Its chief executive Akshaya Moondra said rollout of the modern 5G telecom services is one of the objectives of raising the capital from the public and once the funding comes, it will start work on the rollout. With this round of funding, we believe we will be able to (come) ...
Rediff.com, 2 hour(s) ago
Also from:",https://realtime.rediff.com/news/business/Vi-expects-5G-rollout-in-6-9-months-after-FPO/ca9b4308c1fdb193,2 hour(s) ago
"Byju's India CEO Arjun Mohan quits, Raveendran to take over firm's daily ops","Byju's India CEO Arjun Mohan quits, Raveendran to take over firm's daily ops
            Arjun Mohan, CEO of India operations of Think and Learn, which owns Byju's brand, has resigned from the beleaguered firm, which on Monday also announced a business rejig consolidating its operations into three verticals.   Photograph: Courtesy, Byju's Mohan had joined Byju's in July last year as the CEO for international business after quitting rival UpGrad in February as CEO. Later, he was given charge of India operations in September after Byju's then CEO Mrinal Mohit resigned. After taking ...
Rediff.com, 3 hour(s) ago
Also from:",https://realtime.rediff.com/news/business/Byju-s-India-CEO-Arjun-Mohan-quits-Raveendran-to-take-over-firm-s-daily-ops/1af1daed113d1a38,3 hour(s) ago
"Sensex, Nifty tank over 1% on concerns over Middle East conflict","Sensex, Nifty tank over 1% on concerns over Middle East conflict
            Stock markets took a beating on Monday with benchmark Sensex and Nifty tumbling over 1 per cent as escalating conflict in the Middle East and weak trends from global markets unnerved investors.  Photograph: PTI Photo from the Rediff Archives Extending losses to the second session, the 30-share BSE Sensex tanked 845.12 points or 1.14 per cent to settle at a more than two-week low of 73,399.78. During the day, it plunged 929.74 points or 1.25 per cent to 73,315.16. The NSE Nifty declined 246.90 ...
Rediff.com, 6 hour(s) ago
Also from:",https://realtime.rediff.com/news/business/Sensex-Nifty-tank-over-1-on-concerns-over-Middle-East-conflict/663896fc73a25597,6 hour(s) ago
Wholesale inflation inches up marginally to 0.53% in March,"Wholesale inflation inches up marginally to 0.53% in March
            Wholesale inflation in the country rose marginally to 0.53 per cent in March compared to 0.20 per cent in the preceding month due to increase in prices of vegetables, potato, onion and crude oil.  Photograph: PTI Photo from the Rediff Archives  The Wholesale Price Index (WPI)-based inflation was in the negative zone from April to October and had turned positive in November at 0.26 per cent. The inflation in March 2023 was 1.41 per cent.   The annual rate of inflation based on all-India ...
Rediff.com, 7 hour(s) ago
Also from:",https://realtime.rediff.com/news/business/Wholesale-inflation-inches-up-marginally-to-0-53-in-March/39704fd5b7ff459e,7 hour(s) ago
"Modi promises 30 mn 'Lakhpati Didis', higher MSP","Modi promises 30 mn 'Lakhpati Didis', higher MSP
            The Bharatiya Janata Party (BJP) on Sunday pledged to make 30 million ‘Lakhpati Didis’, up from the 10 million rural women who have already achieved the feat.   Photograph: Shrikant Singh/ANI Photo Prime Minister Narendra Modi on Sunday released the BJP’s manifesto for the upcoming Lok Sabha elections. The manifesto says the ruling party will continue the quarterly financial disbursements under the Pradhan Mantri Kisan Samman Nidhi (PM KISAN) yojana. It also promised to ...
Rediff.com, 7 hour(s) ago
Also from:",https://realtime.rediff.com/news/business/Modi-promises-30-mn-Lakhpati-Didis-higher-MSP/fd083651100676da,7 hour(s) ago
Wooing Tesla: 4 States Pull Out All Stops,"Wooing Tesla: 4 States Pull Out All Stops
            'Gujarat is the frontrunner at present.''However, Tamil Nadu's robust automobile ecosystem and Telangana's aggressive incentives make them strong contenders.'  Photograph: Mike Blake/Reuters As Tesla prepares to make its entry into India, state governments are leaving no stone unturned to woo the electric vehicle titan. Government sources revealed that Gujarat is currently leading the race to secure the project, with Tamil Nadu and Telangana hot on its heels. Not to be left behind, Maharashtra ...
Rediff.com, 8 hour(s) ago
Also from:",https://realtime.rediff.com/news/business/Wooing-Tesla-4-States-Pull-Out-All-Stops/c547b60a8caaeab1,8 hour(s) ago
TCS headcount declines for first time in 19 yrs; hits campus route,"TCS headcount declines for first time in 19 yrs; hits campus route
            For the first time in 19 years, Tata Consultancy Services reported a fall in the net headcount for a financial year, witnessing its total employee base shrinking to 601,546 at the end of FY24.   Photograph: Dado Ruvic/Reuters On a year-on-year basis, the company’s headcount fell by over 13,249 for the financial year. On a sequential basis, the headcount was down by 1,759.Compared to FY23, the firm’s addition to the number of employees has also been dismal. The total headcount was ...
Rediff.com, 9 hour(s) ago
Also from:",https://realtime.rediff.com/news/business/TCS-headcount-declines-for-first-time-in-19-yrs-hits-campus-route/4a32ebd86c839435,9 hour(s) ago
e-Shram may open door to govt benefits for workers,"e-Shram may open door to govt benefits for workers
            The Bharatiya Janata Party (BJP) led central government will use the unorganised workers database — e-Shram portal — to provide the benefits of various government programmes to the nearly 300 million workers over the next five years, if it is voted to power for the third consecutive term in the upcoming general elections.  Illustration: Uttam Ghosh/Rediff.com We have registered unorganised workers on the e-Shram platform. We will reach out to the e-Shram registered ‘shramik ...
Rediff.com, 9 hour(s) ago
Also from:",https://realtime.rediff.com/news/business/e-Shram-may-open-door-to-govt-benefits-for-workers/10e07b835f7ad11e,9 hour(s) ago
"FPIs jettison FMCG, auto shares in March voyage","FPIs jettison FMCG, auto shares in March voyage
            Foreign portfolio investors (FPIs) were sellers of fast-moving consumer goods (FMCG), automotive (auto), and financial stocks during the second half of March.   Illustration: Dominic Xavier/Rediff.com FMCG stocks saw selling worth Rs 4,939 crore, followed by auto (Rs 2,085 crore), financial services (Rs 1,900 crore), and consumer durables (Rs 1,175 crore), according to data collated by PRIME Infobase. FPIs also sold oil and gas stocks worth roughly Rs 1,169 crore.   Experts said that the ...
Rediff.com, 11 hour(s) ago
Also from:",https://realtime.rediff.com/news/business/FPIs-jettison-FMCG-auto-shares-in-March-voyage/638e083723fc6d41,11 hour(s) ago
